id,bizim_dogru_mu,jev_guven,bizim_kategori,jev_kategori,zorluk,eskiyebilir,coklu_dogru,hassas
0007bbf6-f736-4be2-949e-05a01e316953,1,1.000,tarih,tarih,1.77,0,0,0
0007d250-1e61-4dd1-a35c-77514b7c38c7,1,1.000,cografya,cografya,1.98,0,0,0
0002b042-f627-4ec9-8c75-8ad30bedad96,1,1.000,teknoloji,teknoloji,2.90,0,0,0
0007ad10-55fe-4495-a831-f7f549c9857b,1,1.000,sanat,sanat,2.55,0,0,0
0006e891-671d-4224-931d-8d077ac10155,1,1.000,cografya,cografya,2.05,0,0,0
000e8c8d-0ff9-4384-8d22-40b5804ef8d6,1,1.000,cografya,bilim,2.27,0,0,0
0013291d-ab14-4f4d-b3d3-c284bff6c5c3,1,1.000,teknoloji,teknoloji,1.96,0,0,0
00141cca-0646-4c6e-b62e-f5afc068cd80,1,0.980,bilim,bilim,1.28,0,0,0
000fcf74-48bc-42bc-9d08-26febff8e37b,1,1.000,teknoloji,teknoloji,4.27,0,0,0
001b9805-7f4e-4375-b17a-fb11fd8feacf,1,1.000,bilim,bilim,2.04,0,0,0
001fadbe-2ab7-4ec1-bc1a-e571509e99ca,1,1.000,cografya,cografya,1.90,0,0,0
0022e374-f386-488e-9aad-f4c221f5c305,1,1.000,cografya,cografya,1.69,0,0,0
00092ecb-349a-4102-a460-73460f2aa305,1,0.810,sanat,edebiyat,2.40,0,0,0
0021482f-58a4-46e2-909a-d520a056b9ba,1,1.000,cografya,cografya,2.07,0,0,0
002c722e-75af-4ed2-b990-37a224cc61c7,1,1.000,spor,spor,1.67,0,0,0
002d95bf-5389-4a8b-9f7a-2ac1c48bd40f,1,1.000,muzik,muzik,3.07,0,0,0
0032d283-c7a1-42a1-b22b-3a248d92be91,1,0.530,muzik,muzik,4.10,0,0,0
003e2733-e66c-4c32-96ed-f43b8373028f,1,1.000,cografya,cografya,2.13,0,0,0
00336d00-dc27-48c4-9115-3b72d1d0711a,1,0.990,spor,spor,2.38,0,0,0
004b41a2-b949-4c3f-b520-714da0172c3d,1,1.000,genel_kultur,bilim,1.45,0,0,0
004c5d39-6717-42e4-895f-a304576414c7,1,1.000,bilim,bilim,1.93,0,0,0
00583de1-f025-456a-924a-cc06118cf80a,1,1.000,muzik,muzik,1.80,0,0,0
00595793-13d0-44ff-8057-589b068538f5,1,1.000,bilim,bilim,2.13,0,0,0
0065cbce-94ab-4b94-b9d6-8287a66f8ec0,1,0.740,genel_kultur,cografya,2.95,0,0,0
0068ef5f-0794-4f97-a730-fdc8ef901599,1,1.000,sinema,sinema,1.55,0,0,0
0068b933-d8d4-49ee-9537-d0db7db92a4b,1,1.000,genel_kultur,cografya,1.53,0,0,0
006a05a9-e876-49eb-b453-a2936fa42063,1,1.000,genel_kultur,genel_kultur,1.76,0,0,0
00710014-e549-4aab-a44d-dfbbab83f378,1,1.000,muzik,muzik,3.11,0,0,0
